epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1221.03,0.93894,1.75433,1.13561,0.41192,0.42696,0.44728,0.31424,1.19937,1.7602,1.27227,0.000175178,0.000175178,0.000175178
41,1251.46,0.96911,2.07804,1.1675,0.46348,0.40505,0.46729,0.32499,1.20686,1.75124,1.2923,0.000159952,0.000159952,0.000159952
42,1283.62,0.94172,2.03098,1.14446,0.62709,0.40104,0.52419,0.3769,1.2098,1.83791,1.30829,0.000144726,0.000144726,0.000144726
43,1317.03,0.93174,1.98147,1.15553,0.62243,0.31827,0.50733,0.36518,1.20348,1.90498,1.29965,0.0001295,0.0001295,0.0001295
44,1349.98,0.91193,1.90722,1.14319,0.62191,0.34117,0.53638,0.37853,1.18187,1.8689,1.29286,0.000114273,0.000114273,0.000114273
45,1380.97,0.86372,1.83605,1.11206,0.5878,0.36214,0.54183,0.3829,1.18682,1.82636,1.29278,9.90472e-05,9.90472e-05,9.90472e-05
46,1411.53,0.89606,1.83304,1.14838,0.54073,0.48729,0.53222,0.38126,1.18432,1.74617,1.29018,8.3821e-05,8.3821e-05,8.3821e-05
47,1445.2,0.88035,1.80277,1.12507,0.3131,0.57466,0.5137,0.37253,1.18797,1.70581,1.28475,6.85948e-05,6.85948e-05,6.85948e-05
48,1482.73,0.83492,1.71195,1.10222,0.33674,0.61797,0.53061,0.37158,1.17736,1.68587,1.27579,5.33686e-05,5.33686e-05,5.33686e-05
49,1513.13,0.83426,1.69603,1.08037,0.37116,0.61766,0.5329,0.36952,1.17528,1.67617,1.26833,3.81424e-05,3.81424e-05,3.81424e-05
50,1544.17,0.84285,1.72426,1.11082,0.37727,0.61745,0.52118,0.35845,1.16998,1.67375,1.25875,2.29162e-05,2.29162e-05,2.29162e-05
