Text: представляющая, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: -де, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: связывание, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: условного, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: сигнала, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: с, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: безусловным, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: рефлексом, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: с, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: кормление, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: при, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: включений, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: лампе, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: формирование, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: условного, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: рефлекса, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: и, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: рефлекс, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: сформирован, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: с, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: слюноотделение, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: по, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: пинается, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: только, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: при, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: в, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: ключной, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: лампе, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: no51), Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: давление, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: в, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: сонных, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: артериях, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: жирафа, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: больше, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: так, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: крови, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: нужно, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: преодолевать, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: большее, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: расстояние, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: цо, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: головы, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: против, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: силы, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: тяжести, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: -с, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: более, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: нотная, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: соединительная, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: ткань, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: нужна, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: для, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: поддержания, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: целостности, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: и, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: проницаемости, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: капилляров, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: на, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: необходимом, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: ровнее, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: при, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: условии, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: большего, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: пряного, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: давления, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: -с, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: при, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: хронически, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: повышенном, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: давлении, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: у, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: людей, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: через, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: стенки, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: акрилатов, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: проходит, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: больше, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: таинство, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: плазмы, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: крови, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: из-за, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: что, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: простит, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: количество, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: ростёт, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
Text: количество, Number: 22, Confidence: 0.34, Bbox: [49.291648864746094, 4.2311692237854, 2292.357177734375, 487.1407165527344]
