Text: кроссовере, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: гиперон, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: б, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: вуз, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: оХ, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: В, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: аномалия, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: кисти, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: без, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: гипертрихоза, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: без, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: аномалии, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: кисту, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: без, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: гипертрихоза, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: без, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: аномалии, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: киста, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: без, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: гипертрихоза, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: Да, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: возможно, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: Он, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: будет, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: галит, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: получаться, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: из, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: от, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: матери, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: и, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: кроссоверов, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: замети, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: Ув, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: otya., Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: ха, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: у, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: ха, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: у, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
