Text: калия, Number: 28, Confidence: 0.68, Bbox: [21.42591094970703, 21.01416015625, 2294.663818359375, 2268.89111328125]
Text: наполнившая, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: девочка, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: девочек, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: без, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: развитие, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: кисти, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: ломался, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: радости, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: кисти, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: гиперпуниказа, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: енотом, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: феномены, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: мальчиков, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: -де, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: ха, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: радостная, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: клиник, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: генерализмноз, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: развитие, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: нормальное, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: -с, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: крепковатое, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: кисти, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: мерлушка, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: имершушка,, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
