Text: месяц, Number: none, Confidence: none, Bbox: none
Text: мозге, Number: none, Confidence: none, Bbox: none
Text: условного, Number: none, Confidence: none, Bbox: none
Text: (илиульга-, Number: none, Confidence: none, Bbox: none
Text: перекачать, Number: none, Confidence: none, Bbox: none
Text: импульса, Number: none, Confidence: none, Bbox: none
Text: удобного, Number: none, Confidence: none, Bbox: none
Text: прелина, Number: none, Confidence: none, Bbox: none
Text: чувствительного, Number: none, Confidence: none, Bbox: none
Text: нейрона, Number: none, Confidence: none, Bbox: none
Text: домодельный, Number: none, Confidence: none, Bbox: none
Text: любовная, Number: none, Confidence: none, Bbox: none
Text: железа, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: Диктант, Number: none, Confidence: none, Bbox: none
Text: ильма, Number: none, Confidence: none, Bbox: none
Text: мело, Number: none, Confidence: none, Bbox: none
Text: безусловного, Number: none, Confidence: none, Bbox: none
Text: теорема, Number: none, Confidence: none, Bbox: none
Text: передача, Number: none, Confidence: none, Bbox: none
Text: глагольный, Number: none, Confidence: none, Bbox: none
Text: рейдов, Number: none, Confidence: none, Bbox: none
Text: выделена, Number: none, Confidence: none, Bbox: none
Text: слоны, Number: none, Confidence: none, Bbox: none
Text: высокое, Number: none, Confidence: none, Bbox: none
Text: артериальное, Number: none, Confidence: none, Bbox: none
Text: предшес, Number: none, Confidence: none, Bbox: none
Text: изучаем, Number: none, Confidence: none, Bbox: none
Text: залепе, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: необходимо, Number: none, Confidence: none, Bbox: none
Text: того, Number: none, Confidence: none, Bbox: none
Text: чтобы, Number: none, Confidence: none, Bbox: none
Text: долы, Number: none, Confidence: none, Bbox: none
Text: кличат, Number: none, Confidence: none, Bbox: none
Text: следовать, Number: none, Confidence: none, Bbox: none
Text: присуждения, Number: none, Confidence: none, Bbox: none
Text: кровотока, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: мара, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: дочи, Number: none, Confidence: none, Bbox: none
Text: головного, Number: none, Confidence: none, Bbox: none
Text: немые, Number: none, Confidence: none, Bbox: none
Text: плотности, Number: none, Confidence: none, Bbox: none
Text: вокруг, Number: none, Confidence: none, Bbox: none
Text: канцеляр, Number: none, Confidence: none, Bbox: none
Text: необходимо, Number: none, Confidence: none, Bbox: none
Text: для, Number: none, Confidence: none, Bbox: none
Text: тебе, Number: none, Confidence: none, Bbox: none
Text: чтобы, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: произошел, Number: none, Confidence: none, Bbox: none
Text: лес, Number: none, Confidence: none, Bbox: none
Text: разрыв, Number: none, Confidence: none, Bbox: none
Text: кун, Number: none, Confidence: none, Bbox: none
Text: смесей, Number: none, Confidence: none, Bbox: none
Text: давления, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: При, Number: none, Confidence: none, Bbox: none
Text: повышении, Number: none, Confidence: none, Bbox: none
Text: давления, Number: none, Confidence: none, Bbox: none
Text: суммами, Number: none, Confidence: none, Bbox: none
Text: сосуды, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: ведет, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: углублению, Number: none, Confidence: none, Bbox: none
Text: ведёт, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: углубнению, Number: none, Confidence: none, Bbox: none
