Text: при, Number: 22, Confidence: 0.31, Bbox: [60.948646545410156, 16.658842086791992, 2310.0, 354.30548095703125]
Text: -с, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: У, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: жирафа, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: бутены, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: сонные, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: артерии, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: из-за, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: большего, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: разме, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: ра, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: по, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: сравнению, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: с, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: человеком, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: что, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: предполагает, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: высокое, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: артериальное, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: давление, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: -с, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: Для, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: разноса, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: крови, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: по, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: организму, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: нужен, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: более, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: быстрой, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: так, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: крови, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: следовательно, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: давление, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: повышается, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: -с, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: В, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: связи, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: с, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: увеличенным, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: артериальным, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: давлением, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: соеди, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: тельная, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: ткань, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: в, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: конечностях, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: более, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: плотная, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: -с, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: Более, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: плотная, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: соединительная, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: ткань, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: в, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: конечностях, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: осуществляет, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: защиту, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: капилляров, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: с, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: высоким, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: давление, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
Text: ем, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: внутри, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: сосуда, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: -с, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: В, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: связи, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: с, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: более, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: плохим, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: отгоном, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: тканевой, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: жид, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: ности, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: плазма, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: крови, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: переходит, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: в, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: тканевую, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: жид, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: кость, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: и, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: плохой, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: насыщаемости, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
Text: кислородом, Number: 25, Confidence: 0.32, Bbox: [45.30183029174805, 1525.94677734375, 2310.0, 2014.495849609375]
