Text: рефлекс, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: горит, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: центр, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: условного, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: без, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: грусно, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: слюноотделительного, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: рефлекса, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: находится, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: в, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: височной, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: зоне, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: корп, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: года, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: больших, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: полушарий, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: пищеварительный, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: центр, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: различая, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: между, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: л, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: рефлексом, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: и, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: инстинктом, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: инстинкт, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: последовательность, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: безусловных, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: рефлексов, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: поведение, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: животного, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: Присущ, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: всем, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: ничого, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: млекопитающим, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: кроме, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: человека, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: осудил, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: изученный, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: рефлексбыстрая, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: ответная, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: реакция, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: организм, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: на, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: внешний, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: раздражитель, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: Присущ, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: млекопитающий, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: у, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: человека, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: вместо, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: инстинкта, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: элементы, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: реакторной, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: душ, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: условного, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: душ, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: слюноотделительного, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: рефлекса, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: сначала, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: пищей, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: раздражаются, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: в, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: кусавшее, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: вше, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: вше, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: сосочки, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: языка, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: рецептор, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: алеем, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: по, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: дали, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: пути, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: нервный, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: вше, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: сосочки, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: языка, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: (рецептор), Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: 6), Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: алее, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: по, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: дали, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: чувствительному, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: пути, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: нервный, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
