Text: существует, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: которая, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: говорит, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: что, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: коньми, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: был, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: единый, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: материк, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: а, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: после, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: он, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: достался, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: на, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: несколько, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
