Text: манатья, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: а, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: а, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: 0,99, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: 0,01, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: а, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: -с, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: 0198, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: а, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: Эволюционный, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: фактор, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: который, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: может, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: приводить, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: к, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: снижению, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: доли, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: рецессивных, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: гомозигот, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: во, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: всей, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: человеческой, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: -с, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: естественный, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: отбор, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: Дано, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: ние, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: Решение, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: -с, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: аномалия, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: кисти, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: нормальная, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: -с, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: а, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: зад, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: а, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: в, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: он, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: зав, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: для, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: нормальная, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: кисть, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: нет, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: гипертрихоза, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: аномальная, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: кисть, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: гипертрихоз, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: -с, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: аномальная, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: кисть, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: уа, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: -с, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: кисть, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: -с, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: нет, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: гипертрихоза, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: Генотипы, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: и, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: фенотипы, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: гипертрихоз, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: возможных, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: дочерей, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: -с, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: нет, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: гипертрихоза, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: -с, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: кисть, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: -с, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: гипертрихоз, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: нет, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: Найти, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: генотипы, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: фенотипы, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: Пол, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: -с, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: ехав, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: у, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: аномалия, Number: 28, Confidence: 0.47, Bbox: [54.64034652709961, 787.61279296875, 874.375732421875, 1952.19873046875]
Text: кисти, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: гипертрихоз, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: Генотипы, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: и, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: фенотипы, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: возможных, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: сыновей, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: -с, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: ехав, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: зуав, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: -с, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: зуав, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: -с, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: аномалия, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: кисти, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: нет, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: гипертрихоза, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: нормальная, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: кисть, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: нет, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: гипертрихоза, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: Смотри, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: гале, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: хав, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: уав, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: -, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: -аномалия, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: кисти,, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: нет, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: гипертрихоза, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: нормальная, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: кисть, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: нет, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: гипертрихоза, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: Смотри, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: гале, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
