Text: отделительного, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: нерв, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: зрительный, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: центр, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: больших, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: полушарий, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: временная, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: свя, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: язь, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: -с, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: пищевой, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: центр, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: продолговатого, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: мозга, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: железа, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: пищевой, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: центр, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: продолговатого, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: мозга, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: железа., Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
