Text: возникает, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: разв, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: кисти, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: гл, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: ракурсу, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: и, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: с, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: канами, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: ров, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: кисти, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: -с, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: В, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: первом, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: факел, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: возможно, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: рождение, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: ребенка, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: с, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: аналитика, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: листки, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: и, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: гипертрихоза, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: потому, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: что, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: заболевание, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: передается, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: командрически,, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: а, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: обозначит, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: что, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: родившийся, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: в, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: первом, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: браке, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: мальчик, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: будет, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: болен, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: гипертрихозом, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: что, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: можно, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: видеть, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: пое, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: схеме, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: в, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: -де, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: в, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: F1., Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
