Text: Безусловный, Number: 22, Confidence: 0.52, Bbox: [0.0, 34.26746368408203, 2294.45654296875, 1019.3043823242188]
Text: веществ, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: -де, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: а, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: а, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: В, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: -с, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: Размер, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: тела, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: меньше, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: чем, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: у, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: современных, Number: 22, Confidence: 0.73, Bbox: [3.2176904678344727, 994.9276123046875, 2300.505859375, 2060.99609375]
Text: сумчатые, Number: 24, Confidence: 0.58, Bbox: [6.774761199951172, 2074.83349609375, 2310.0, 2589.104736328125]
Text: какие, Number: 24, Confidence: 0.58, Bbox: [6.774761199951172, 2074.83349609375, 2310.0, 2589.104736328125]
Text: эти, Number: 24, Confidence: 0.58, Bbox: [6.774761199951172, 2074.83349609375, 2310.0, 2589.104736328125]
Text: животные, Number: 24, Confidence: 0.58, Bbox: [6.774761199951172, 2074.83349609375, 2310.0, 2589.104736328125]
Text: питались, Number: 24, Confidence: 0.58, Bbox: [6.774761199951172, 2074.83349609375, 2310.0, 2589.104736328125]
Text: 2), Number: 24, Confidence: 0.58, Bbox: [6.774761199951172, 2074.83349609375, 2310.0, 2589.104736328125]
Text: Размер, Number: 24, Confidence: 0.58, Bbox: [6.774761199951172, 2074.83349609375, 2310.0, 2589.104736328125]
Text: тела, Number: 24, Confidence: 0.58, Bbox: [6.774761199951172, 2074.83349609375, 2310.0, 2589.104736328125]
Text: меньше,, Number: 24, Confidence: 0.58, Bbox: [6.774761199951172, 2074.83349609375, 2310.0, 2589.104736328125]
Text: чем, Number: 24, Confidence: 0.58, Bbox: [6.774761199951172, 2074.83349609375, 2310.0, 2589.104736328125]
Text: у, Number: 24, Confidence: 0.58, Bbox: [6.774761199951172, 2074.83349609375, 2310.0, 2589.104736328125]
Text: современных, Number: 24, Confidence: 0.58, Bbox: [6.774761199951172, 2074.83349609375, 2310.0, 2589.104736328125]
Text: сумматые,, Number: 24, Confidence: 0.58, Bbox: [6.774761199951172, 2074.83349609375, 2310.0, 2589.104736328125]
Text: какие, Number: 24, Confidence: 0.58, Bbox: [6.774761199951172, 2074.83349609375, 2310.0, 2589.104736328125]
Text: эти, Number: 24, Confidence: 0.58, Bbox: [6.774761199951172, 2074.83349609375, 2310.0, 2589.104736328125]
Text: животные, Number: 24, Confidence: 0.58, Bbox: [6.774761199951172, 2074.83349609375, 2310.0, 2589.104736328125]
Text: питались, Number: 24, Confidence: 0.58, Bbox: [6.774761199951172, 2074.83349609375, 2310.0, 2589.104736328125]
