Text: У, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: кровь, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: по, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: большому, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: кругу, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: кровообращения, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: добраться, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: с, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: до, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: тканей, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: и, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: киты, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: с, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: отгонами, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: в, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: комплойях,, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: сердце, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: пульсирует, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: выплевывает, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: кровь, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: с, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: большим, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: доверием, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: -с, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: в, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: большом, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: кругу, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: кровообращение, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: кровь, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: из, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: аорты, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: выплескивается, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: в, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: большим, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: объеме, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: -с, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: и, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: за, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: этого, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: у, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: гидрофон, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: такое, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: высокое, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: артериальное, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: девами, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: по, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: -с, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: У, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: злодей, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: при, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: длительном, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: патологически, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: повыше, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: ком, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: арт, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: золение, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: может, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: порскать, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: отечность, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: шивших, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: конечностей, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: тк, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: из-за, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: крови, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: дельного, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: в, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: ториевую, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: мукой, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: попадает, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: много, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: воры, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: из, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: крови, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: -с, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: Оно, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: скапливается, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: и, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: из-за, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: этого, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: возникает, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: отечность, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: возникает, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
Text: отечность, Number: 25, Confidence: 0.30, Bbox: [27.040258407592773, 1349.987548828125, 2310.0, 2092.66259765625]
