Text: генотипом, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: С, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: фепилпенопурей, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: -с, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: 9899, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: а, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: Здоровых, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: -с, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: 9999, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: Для, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: равновесной, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: популяции, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: -де, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: 2pg+gk=1, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: а, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: а, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: -с, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: -с, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: а, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: -с, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: -с, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: Приводить, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: к, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: снижению, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: рецессивных, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: гомодинном, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: можем, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: ранняя, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: смерть, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: ее, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: посинелой, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: в, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: связи, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: с, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: чем, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: они, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: не, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: успевают, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: дать, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: потомство, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: no26, Number: 25, Confidence: 0.65, Bbox: [82.8534927368164, 1420.3245849609375, 2290.90576171875, 1879.8106689453125]
Text: смазные, Number: 25, Confidence: 0.65, Bbox: [82.8534927368164, 1420.3245849609375, 2290.90576171875, 1879.8106689453125]
Text: расселяются, Number: 25, Confidence: 0.65, Bbox: [82.8534927368164, 1420.3245849609375, 2290.90576171875, 1879.8106689453125]
Text: в, Number: 25, Confidence: 0.65, Bbox: [82.8534927368164, 1420.3245849609375, 2290.90576171875, 1879.8106689453125]
Text: Южной, Number: 25, Confidence: 0.65, Bbox: [82.8534927368164, 1420.3245849609375, 2290.90576171875, 1879.8106689453125]
Text: Америке, Number: 25, Confidence: 0.65, Bbox: [82.8534927368164, 1420.3245849609375, 2290.90576171875, 1879.8106689453125]
Text: и, Number: 25, Confidence: 0.65, Bbox: [82.8534927368164, 1420.3245849609375, 2290.90576171875, 1879.8106689453125]
Text: Австралии, Number: 25, Confidence: 0.65, Bbox: [82.8534927368164, 1420.3245849609375, 2290.90576171875, 1879.8106689453125]
Text: нак, Number: 25, Confidence: 0.65, Bbox: [82.8534927368164, 1420.3245849609375, 2290.90576171875, 1879.8106689453125]
Text: нам, Number: 25, Confidence: 0.65, Bbox: [82.8534927368164, 1420.3245849609375, 2290.90576171875, 1879.8106689453125]
Text: пеклый, Number: 25, Confidence: 0.65, Bbox: [82.8534927368164, 1420.3245849609375, 2290.90576171875, 1879.8106689453125]
Text: и, Number: 25, Confidence: 0.65, Bbox: [82.8534927368164, 1420.3245849609375, 2290.90576171875, 1879.8106689453125]
Text: влажный, Number: 25, Confidence: 0.65, Bbox: [82.8534927368164, 1420.3245849609375, 2290.90576171875, 1879.8106689453125]
Text: климат, Number: 25, Confidence: 0.65, Bbox: [82.8534927368164, 1420.3245849609375, 2290.90576171875, 1879.8106689453125]
Text: благоприятный, Number: 25, Confidence: 0.65, Bbox: [82.8534927368164, 1420.3245849609375, 2290.90576171875, 1879.8106689453125]
Text: для, Number: 25, Confidence: 0.65, Bbox: [82.8534927368164, 1420.3245849609375, 2290.90576171875, 1879.8106689453125]
Text: их, Number: 25, Confidence: 0.65, Bbox: [82.8534927368164, 1420.3245849609375, 2290.90576171875, 1879.8106689453125]
Text: жизни, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: жизнедеятельности, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
