Text: мая, Number: none, Confidence: none, Bbox: none
Text: лекарственного, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: no23, Number: none, Confidence: none, Bbox: none
Text: Тестируемый, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: разрушает, Number: none, Confidence: none, Bbox: none
Text: вирусные, Number: none, Confidence: none, Bbox: none
Text: частицы, Number: none, Confidence: none, Bbox: none
Text: Это, Number: none, Confidence: none, Bbox: none
Text: можно, Number: none, Confidence: none, Bbox: none
Text: утверждать, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: увеличение, Number: none, Confidence: none, Bbox: none
Text: количества, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: образце, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: введения, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: стало, Number: none, Confidence: none, Bbox: none
Text: менее, Number: none, Confidence: none, Bbox: none
Text: интенсивным, Number: none, Confidence: none, Bbox: none
Text: Му, Number: none, Confidence: none, Bbox: none
Text: этого, Number: none, Confidence: none, Bbox: none
Text: можно, Number: none, Confidence: none, Bbox: none
Text: сделать, Number: none, Confidence: none, Bbox: none
Text: вывод, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: большинство, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: разругается, Number: none, Confidence: none, Bbox: none
Text: установить, Number: none, Confidence: none, Bbox: none
Text: влияет, Number: none, Confidence: none, Bbox: none
Text: ли, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: целостность, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: можно, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: помощью, Number: none, Confidence: none, Bbox: none
Text: метода, Number: none, Confidence: none, Bbox: none
Text: культивирования, Number: none, Confidence: none, Bbox: none
Text: ана, Number: none, Confidence: none, Bbox: none
Text: благоприятной, Number: none, Confidence: none, Bbox: none
Text: клеточной, Number: none, Confidence: none, Bbox: none
Text: культивирования, Number: none, Confidence: none, Bbox: none
Text: (на, Number: none, Confidence: none, Bbox: none
Text: благоприятной, Number: none, Confidence: none, Bbox: none
Text: клеточной, Number: none, Confidence: none, Bbox: none
