Text: слюноотделения, Number: 22, Confidence: 0.80, Bbox: [67.59101104736328, 55.04888916015625, 2291.9970703125, 869.5001220703125]
Text: части, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: которого, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: впоследствии, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: стали, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: австралиек, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: и, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: неясной, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: Америкой, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: Несной, Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
Text: Америкой., Number: 24, Confidence: 0.47, Bbox: [56.648841857910156, 863.0122680664062, 2296.8916015625, 1950.9881591796875]
