Text: временная, Number: 22, Confidence: 0.33, Bbox: [63.170921325683594, 24.03820037841797, 2268.118408203125, 381.91278076171875]
Text: Противовирусный, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: аппарат, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: может, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: не, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: подействовать, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: на, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: вирусы, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: а, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: также, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: прошлое, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: лекарственное, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: средство, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: не, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: до, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: конца, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: вывелось, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: из, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: организма, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: поэтому, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: бактерии, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: могут, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: продолжить, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: размножаться, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: Зависимая, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: переменнаялекарство, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: венный, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: При, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: и, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: добавлении, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: противовирусного, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: препарата, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: зависимая, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: переменная, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: останется, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: прежней, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: Добавления, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: в, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: клетку, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: человека, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: Нужно, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: подождать, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: некоторое, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: время, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: чтобы, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: выдался, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: из, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: организма, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: лекарственный, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: препарат, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: Снова, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: заселить, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: вкусные, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: частицы, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: no23, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: нельзя, Number: 22, Confidence: 0.36, Bbox: [51.94395446777344, 281.1209716796875, 2284.136962890625, 2583.871826171875]
Text: В, Number: 24, Confidence: 0.35, Bbox: [60.853302001953125, 2218.80126953125, 2304.77978515625, 2590.0]
Text: таблице, Number: 24, Confidence: 0.35, Bbox: [60.853302001953125, 2218.80126953125, 2304.77978515625, 2590.0]
Text: показано, Number: 24, Confidence: 0.35, Bbox: [60.853302001953125, 2218.80126953125, 2304.77978515625, 2590.0]
Text: со, Number: 24, Confidence: 0.35, Bbox: [60.853302001953125, 2218.80126953125, 2304.77978515625, 2590.0]
Text: временем, Number: 24, Confidence: 0.35, Bbox: [60.853302001953125, 2218.80126953125, 2304.77978515625, 2590.0]
Text: что, Number: 24, Confidence: 0.35, Bbox: [60.853302001953125, 2218.80126953125, 2304.77978515625, 2590.0]
Text: вирусных, Number: 24, Confidence: 0.35, Bbox: [60.853302001953125, 2218.80126953125, 2304.77978515625, 2590.0]
Text: тику, Number: 24, Confidence: 0.35, Bbox: [60.853302001953125, 2218.80126953125, 2304.77978515625, 2590.0]
Text: частиц, Number: 24, Confidence: 0.35, Bbox: [60.853302001953125, 2218.80126953125, 2304.77978515625, 2590.0]
Text: стал, Number: 24, Confidence: 0.35, Bbox: [60.853302001953125, 2218.80126953125, 2304.77978515625, 2590.0]
Text: стало, Number: 24, Confidence: 0.35, Bbox: [60.853302001953125, 2218.80126953125, 2304.77978515625, 2590.0]
Text: больше, Number: 24, Confidence: 0.35, Bbox: [60.853302001953125, 2218.80126953125, 2304.77978515625, 2590.0]
Text: клетках, Number: 24, Confidence: 0.35, Bbox: [60.853302001953125, 2218.80126953125, 2304.77978515625, 2590.0]
Text: стало, Number: 24, Confidence: 0.35, Bbox: [60.853302001953125, 2218.80126953125, 2304.77978515625, 2590.0]
Text: больше, Number: 24, Confidence: 0.35, Bbox: [60.853302001953125, 2218.80126953125, 2304.77978515625, 2590.0]
Text: клетках., Number: 24, Confidence: 0.35, Bbox: [60.853302001953125, 2218.80126953125, 2304.77978515625, 2590.0]
