Text: адаптация, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: в, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: отличие, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: от, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: инстинкта, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: присущ, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: всем, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: живым, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: существам, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: Например, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: у, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: человека, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: нет, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: инстинктов, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: а, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: срабатывает, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: раздражитель, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: собака, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: с, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: помощью, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: зрительного, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: анализатора, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: замечает, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: раздражител, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: возбуждается, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: рецептор, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: а, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: информация, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: переходит, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: на, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: нервное, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: волокно, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: потом, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: переходит, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: в, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: рефлекторный, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: центр, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: а, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: оттуда, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: реакторный, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: центр, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: передает, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: информацию, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: слюнным, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: железам, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: -с, Number: 24, Confidence: 0.44, Bbox: [29.114826202392578, 2246.027099609375, 2304.60595703125, 2588.953369140625]
Text: -с, Number: 24, Confidence: 0.44, Bbox: [29.114826202392578, 2246.027099609375, 2304.60595703125, 2588.953369140625]
Text: о, Number: 24, Confidence: 0.44, Bbox: [29.114826202392578, 2246.027099609375, 2304.60595703125, 2588.953369140625]
Text: По, Number: 24, Confidence: 0.44, Bbox: [29.114826202392578, 2246.027099609375, 2304.60595703125, 2588.953369140625]
Text: известным, Number: 24, Confidence: 0.44, Bbox: [29.114826202392578, 2246.027099609375, 2304.60595703125, 2588.953369140625]
Text: данным, Number: 24, Confidence: 0.44, Bbox: [29.114826202392578, 2246.027099609375, 2304.60595703125, 2588.953369140625]
Text: что, Number: 24, Confidence: 0.44, Bbox: [29.114826202392578, 2246.027099609375, 2304.60595703125, 2588.953369140625]
Text: в, Number: 24, Confidence: 0.44, Bbox: [29.114826202392578, 2246.027099609375, 2304.60595703125, 2588.953369140625]
Text: конечностях, Number: 24, Confidence: 0.44, Bbox: [29.114826202392578, 2246.027099609375, 2304.60595703125, 2588.953369140625]
Text: жирафа, Number: 24, Confidence: 0.44, Bbox: [29.114826202392578, 2246.027099609375, 2304.60595703125, 2588.953369140625]
Text: соединительная, Number: 24, Confidence: 0.44, Bbox: [29.114826202392578, 2246.027099609375, 2304.60595703125, 2588.953369140625]
Text: ткань, Number: 24, Confidence: 0.44, Bbox: [29.114826202392578, 2246.027099609375, 2304.60595703125, 2588.953369140625]
Text: вокруг, Number: 24, Confidence: 0.44, Bbox: [29.114826202392578, 2246.027099609375, 2304.60595703125, 2588.953369140625]
Text: капилляров, Number: 24, Confidence: 0.44, Bbox: [29.114826202392578, 2246.027099609375, 2304.60595703125, 2588.953369140625]
Text: стилист, Number: 24, Confidence: 0.44, Bbox: [29.114826202392578, 2246.027099609375, 2304.60595703125, 2588.953369140625]
Text: а, Number: 24, Confidence: 0.44, Bbox: [29.114826202392578, 2246.027099609375, 2304.60595703125, 2588.953369140625]
