Text: слащав, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: и, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: гипутрждом, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: -с, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: бы, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: возможно, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: В, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: первом, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: браке, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: может, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: ввиться, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: мужчина, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: с, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: мори, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: кистью, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: и, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: гипс, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: актов, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: (кто?, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
