Text: bruiniahdie!, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: аптеке, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: будет, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: также, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: замедляй, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: ть, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: распространение, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: вирусных, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: клеток, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: и, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: такой, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: контроль, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: не, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: будет, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: являться, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: отрицательным, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: Чтобы, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: установить, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: отрицательный, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: контроль, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: нужно, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: зараженные, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: плетки, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: человека, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: вирусами, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: не, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: вносить, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: лекарственный, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: препарат, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: а, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: все, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: остальные, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: условия, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: оставить, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: без, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: из, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: изменений, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: -де, Number: 22, Confidence: 0.33, Bbox: [1.2147541046142578, 94.21038055419922, 2270.461181640625, 2101.2900390625]
Text: Нельзя, Number: 22, Confidence: 0.33, Bbox: [1.2147541046142578, 94.21038055419922, 2270.461181640625, 2101.2900390625]
Text: утверждать, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: что, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: препарат, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: разрушает, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: вирусные, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: частицы, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: потому, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: что, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: в, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: таблице, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: можно, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: отследить, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: как, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: потение, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: количества, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: вирусных, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: частиц, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: так, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: и, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: арат, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: уже, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: после, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: рыдания, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: перепав, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: рата, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: Метод, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: меченных, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: отвалов, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: Вирусы, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: способны, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: адаптироваться, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: к, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: условиям, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: действия, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: внешнего, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: раздражителя, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: им, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: свойственно, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: быстрое, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: и, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: большое, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: по, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: количеству, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: размножение, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: именно, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: поэтов, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: количеству, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: размножение,, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: именно, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
Text: поэто-, Number: 25, Confidence: 0.34, Bbox: [0.0, 1362.3121337890625, 2259.22607421875, 2584.11376953125]
