Text: лепольносьсть, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: конечностей, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: стали, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: увеличиваться, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: следовательно, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: это, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: произошло, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: из-за, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: улучшения, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: климата, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: окружающей, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: среда, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: увеличенный, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: вост, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: уши, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: до, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: способствуют, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: быстрой, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: теплоотдаче, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: организм, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: не, Number: 22, Confidence: 0.31, Bbox: [11.040973663330078, 37.89944076538086, 2310.0, 1378.0545654296875]
Text: перегревается, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: быстро, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: географическая, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: теория, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: эволюции, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: no25., Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: обрадов, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: а, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: сочных, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: артериях, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: высокое, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: артериальное, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: возможно, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: из-за, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: того, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: что, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: тирадо, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: длинные, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: части, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: тела, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: шея, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: ноги, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: для, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: того, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: чтобы, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: гробы, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: хорошо, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: проходило, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: по, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: всем, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: судам, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: патолог, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: при, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: повышенном, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: давления, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: может, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: возникать, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: отечность, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: из-за, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: того, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: что, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: кровь, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: на, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: есть, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: быстро, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: циркулирует, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: по, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
Text: цеп, Number: 24, Confidence: 0.35, Bbox: [27.219581604003906, 2155.55712890625, 2299.00830078125, 2590.0]
