Text: ушла, Number: none, Confidence: none, Bbox: none
Text: находится, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: снежной, Number: none, Confidence: none, Bbox: none
Text: деле, Number: none, Confidence: none, Bbox: none
Text: казах, Number: none, Confidence: none, Bbox: none
Text: больших, Number: none, Confidence: none, Bbox: none
Text: полушарий, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: безусловный, Number: none, Confidence: none, Bbox: none
Text: ряженке, Number: none, Confidence: none, Bbox: none
Text: вырабатывается, Number: none, Confidence: none, Bbox: none
Text: уже, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: допуская, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: действии, Number: none, Confidence: none, Bbox: none
Text: какой-либо, Number: none, Confidence: none, Bbox: none
Text: воителя, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: организм, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: извивается, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: броневик, Number: none, Confidence: none, Bbox: none
Text: ут, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: самого, Number: none, Confidence: none, Bbox: none
Text: зазрения, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: ним, Number: none, Confidence: none, Bbox: none
Text: органум, Number: none, Confidence: none, Bbox: none
Text: уже, Number: none, Confidence: none, Bbox: none
Text: машинально, Number: none, Confidence: none, Bbox: none
Text: понимается, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: он, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: деятель, Number: none, Confidence: none, Bbox: none
Text: делать, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: уделенной, Number: none, Confidence: none, Bbox: none
Text: ситуации, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: качестве, Number: none, Confidence: none, Bbox: none
Text: пектора, Number: none, Confidence: none, Bbox: none
Text: выступают, Number: none, Confidence: none, Bbox: none
Text: плазма, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: качестве, Number: none, Confidence: none, Bbox: none
Text: проверки, Number: none, Confidence: none, Bbox: none
Text: волго, Number: none, Confidence: none, Bbox: none
Text: звена, Number: none, Confidence: none, Bbox: none
Text: виснуть, Number: none, Confidence: none, Bbox: none
Text: зубильный, Number: none, Confidence: none, Bbox: none
Text: нар, Number: none, Confidence: none, Bbox: none
Text: который, Number: none, Confidence: none, Bbox: none
Text: проводит, Number: none, Confidence: none, Bbox: none
Text: ваш, Number: none, Confidence: none, Bbox: none
Text: нервный, Number: none, Confidence: none, Bbox: none
Text: импульс, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: заложило, Number: none, Confidence: none, Bbox: none
Text: дело, Number: none, Confidence: none, Bbox: none
Text: о, Number: none, Confidence: none, Bbox: none
Text: козы, Number: none, Confidence: none, Bbox: none
Text: больше, Number: none, Confidence: none, Bbox: none
Text: волу, Number: none, Confidence: none, Bbox: none
Text: затлохиро, Number: none, Confidence: none, Bbox: none
Text: дело, Number: none, Confidence: none, Bbox: none
Text: о, Number: none, Confidence: none, Bbox: none
Text: козы, Number: none, Confidence: none, Bbox: none
Text: больше, Number: none, Confidence: none, Bbox: none
Text: ролу, Number: none, Confidence: none, Bbox: none
