Text: информацию, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: ние, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: при, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: котором, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: кровь, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: будет, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: идти, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: снизу, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: вверх, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: -с, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: чтобы, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: кровь, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: звалась, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: под, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: действием, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: давления, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: поэтому, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: в, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: сонных, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: артериях, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: голиафа, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: наблюдается, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: высокое, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: артериальное, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: давление, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: чем, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: у, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: людей, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: В, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: этой, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: у, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: географов, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: больше, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: соединительной, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: кани, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: -с, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: хрящевой, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: При, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: длительном, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: патологически, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: повышенном, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: артериальном, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: давлении, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: умоляет, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: возникать, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: отечность, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: всм, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: лиц, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: повышенном, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: арте-, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: пиальном, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: завлении, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: могяет, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: возникать, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: отечность, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: (см., Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
Text: лиц, Number: 22, Confidence: 0.41, Bbox: [28.878938674926758, 0.8481419086456299, 2309.40966796875, 528.2586059570312]
