Text: Внеклеточной, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: -с, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: спавшая, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: получившая, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: curkan, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: от, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: головного, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: мозга, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: -де, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: ЖИРАФА, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: артериальное, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: давление, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: больше, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: сонной, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: Артерии, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: чем, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: человека, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: так, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: она, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: более, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: длинная, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: счет, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: чего, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: счет, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
Text: чего, Number: 24, Confidence: 0.31, Bbox: [0.0, 2183.658203125, 2296.323486328125, 2590.0]
