Text: конт, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: общ, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: вещество, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: за, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: в, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: продолжатель, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: мозге, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: копров, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: сопровождается, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: в, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: в, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: течение, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: бескровный, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: Джеке, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: бокс, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: тику, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: пот, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: потро, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: боровки, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: вакуума, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: нему, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: флагам, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: не, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: со, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: расширяет, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: вода, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: инстинктпреобразу, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: течение, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: ники, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: не, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: является, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: ко, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: организма, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: течение, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: ники, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: не, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: является, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: ко, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: для, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
Text: организма, Number: 23, Confidence: 0.37, Bbox: [5.201113700866699, 1649.7628173828125, 2221.89990234375, 2483.814697265625]
