Text: вым, Number: none, Confidence: none, Bbox: none
Text: деятельности, Number: none, Confidence: none, Bbox: none
Text: животных, Number: none, Confidence: none, Bbox: none
Text: губного, Number: none, Confidence: none, Bbox: none
Text: вида, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: них, Number: none, Confidence: none, Bbox: none
Text: скотине, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: любили, Number: none, Confidence: none, Bbox: none
Text: повеления, Number: none, Confidence: none, Bbox: none
Text: скопите, Number: none, Confidence: none, Bbox: none
Text: предп, Number: none, Confidence: none, Bbox: none
Text: предназ, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: пище, Number: none, Confidence: none, Bbox: none
Text: И, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: лее, Number: none, Confidence: none, Bbox: none
Text: жар, Number: none, Confidence: none, Bbox: none
Text: р, Number: none, Confidence: none, Bbox: none
Text: д, Number: none, Confidence: none, Bbox: none
Text: х, Number: none, Confidence: none, Bbox: none
Text: х, Number: none, Confidence: none, Bbox: none
Text: женщина, Number: none, Confidence: none, Bbox: none
Text: мужчина, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: мамашей, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: элемента, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: мороча, Number: none, Confidence: none, Bbox: none
Text: заб, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: норм, Number: none, Confidence: none, Bbox: none
Text: гадь, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: мужчина, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: романов, Number: none, Confidence: none, Bbox: none
Text: арист, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: кисти., Number: none, Confidence: none, Bbox: none
Text: мужчина, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: романов, Number: none, Confidence: none, Bbox: none
Text: рист., Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
