Text: руков, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: дополнительной, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: сложности, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: разработки, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: противовирусных, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: аппаратов, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: Ведь, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: необходимо, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: будет, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: сделать, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: их, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: таки, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: ми, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: чтобы, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: они, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: могли, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: преодолеть, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: всю, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: защиту, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: русак, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: гаруса, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: no25, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: -с, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: У, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: жирафов, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: в, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: сонных, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: артериях, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: артериальное, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: давление, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: выше, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: так, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: как, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: у, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: них, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: шея, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: соответственно, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: от, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: сердца, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: до, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: головного, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: мозга, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: большое, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: расстояние, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: которое, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: необходимо, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: сердца, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: до, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: головного, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: мозга, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: большое, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: расстояние,, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: которое, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
Text: необходимо, Number: 24, Confidence: 0.64, Bbox: [44.65666198730469, 1970.8790283203125, 2275.416015625, 2587.958740234375]
