Text: отечность, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: Антарктиде, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: -с, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: Африка, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: длительное, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: время, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: была, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: воспалена, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: с, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: а, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: кастрация, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: с, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: Антарктидой, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: Южной, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: Америкой, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: -с, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: Между, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: сумчатыми, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: происходит, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: обмен, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: генетической, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: -с, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: Согласно, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: геологической, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: теории, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: претора, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: коноп, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: психов, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: аберрация, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: разочлась, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: с, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: антономидой,, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: а, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: Африка, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: с, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: Южной, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: Америкой, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: что, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: привело, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: к, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: разрыву, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: и, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: географов, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: сумчатых, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: прекращению, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: опереди, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: ваяния, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: в, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: -с, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: Сумчатые, Number: 24, Confidence: 0.35, Bbox: [0.6034250259399414, 1762.4757080078125, 2310.0, 2586.268798828125]
Text: животные, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: распространились, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: Южной, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: Америке, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: и, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: батиграмм, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: так, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: как, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: не, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: встретили, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: естественных, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: врагов, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: и, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: конкурентов, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: на, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: этих, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: континентах, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: например, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: плацентарных, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: no27, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: -с, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: Определим, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: частоту, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: проявления, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: заболевания, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: героина, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: аба, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: p(aa)=, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: -с, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: 10000, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: а, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: -с, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: 0001, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: 0,, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
Text: 0001, Number: 23, Confidence: 0.32, Bbox: [0.0, 1764.240478515625, 2310.0, 2578.94091796875]
