Text: кати, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: условного, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: слюноотделительного, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: ре, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: алекса, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: а, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: Чувствительный, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: нейрон, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: передает, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: информацию, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: с, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: глаз, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: к, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: мозгу, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: а, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: В, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: мозге, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: чувствительный, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: нейрон, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: переходит, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: вставочный, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: нейрон, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: -с, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: далее, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: вставочный, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: ней, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: рок, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: передав, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: информацию, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: к, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: двигательному, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: нейрону, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: -с, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: Двигательный, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: нейрон, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: передает, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: информацию, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: тюк, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: железе, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: и, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: та, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: выделяет, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: слюну, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: no25, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: жирафов, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: в, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: сонных, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: артериях, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: наблюдается, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: высокое, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: артериальное, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: давление, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: из-за, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: их, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: длинной, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: тем, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: Крови, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: жирафа, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: нужно, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: больше, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: времени, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: для, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: поступления, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: гем, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: крови, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: человека, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: а, Number: 25, Confidence: 0.42, Bbox: [19.263906478881836, 1339.7508544921875, 2310.0, 2584.5771484375]
Text: давление, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: ускоряет, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: процесс, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: У, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: этнографов, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: в, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: конечностях, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: соединительная, Number: 25, Confidence: 0.42, Bbox: [19.263906478881836, 1339.7508544921875, 2310.0, 2584.5771484375]
Text: ткань, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: вокруг, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: катаров, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: имеет, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: большую, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: плотность, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: так, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: как, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: жираф, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: очень, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: высокий, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: и, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: длинный, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: по, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: сравнению, Number: 25, Confidence: 0.42, Bbox: [19.263906478881836, 1339.7508544921875, 2310.0, 2584.5771484375]
Text: с, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: человеком, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: чтобы, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: скаляры, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: не, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: порвались, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: из-за, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: давления, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: соединительная, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: ткань, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: шажка, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: быть, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: плотной, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: людей, Number: 25, Confidence: 0.42, Bbox: [19.263906478881836, 1339.7508544921875, 2310.0, 2584.5771484375]
Text: при, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: длительном, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: повышен, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: ном, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: артериальном, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: давлении, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: может, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: возникать, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: отечность, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: давлении, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: может, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: возниксть, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
Text: отечность, Number: 24, Confidence: 0.35, Bbox: [22.263246536254883, 1341.4249267578125, 2310.0, 2585.7314453125]
