Text: рекомбинантные, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: ацетил, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: нет, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: гипертраказа., Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: -с, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: -с, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: -с, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: -с, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: анормальное, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: развитие, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: кисти, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: а, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: анализами, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: в, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: развитии, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: на, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: а, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: в, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: нормальное, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: развитие, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: клети, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: нет, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: -с, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: При, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: первом, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: браке, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: возможно, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: рождение, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: ребенка, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: с, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: нормальном, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: развитием, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: исколет, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: кисти, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: и, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: гипертрихозом, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: сын, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: ходов, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: Задача, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: -де, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: дано, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: -с, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: xy-o?, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: А, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: аномальное, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: хохолками, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: в, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: развитие, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: кисти, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: анормальное, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: развитие, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: клети, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: в, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: езд, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: возможно, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: ли, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: рождение, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: браке, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: ребенка, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: с, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: нормальным, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: развитием, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: клети, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: и, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: гипертрихозом, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: В, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: на, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: с, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: кормальным, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: развитием, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: клети, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: и, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: гипертриходом!, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: В, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: на, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: гипертрикоза, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: р-, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
Text: гипертрикоз, Number: 28, Confidence: 0.80, Bbox: [15.861210823059082, 97.5757827758789, 2287.83740234375, 2590.0]
