Text: драл, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: системы, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: Но, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: щетинят, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: быть, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: характеристик, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: для, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: животных, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: а, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: режем, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: для, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: человека, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: Они, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: она, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: понятия, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: с, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: отенения, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: и, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: запретный, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: та, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: генетическом, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: уровне, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: рефлекторная, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: дуга, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: условного, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: слезоотделительного, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: ребенка, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: ритор, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: глаз, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: зрения, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: очиненная, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: связь, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: центр, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: глюбностческий, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: тонные, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: житную, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [27.23316764831543, 667.1849365234375, 2289.61865234375, 1708.3663330078125]
Text: У, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: жирафов, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: артериальное, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: зависание, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: анонс, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: так, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: благодаря, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: ему, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: права, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: петри, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: перемещается, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: по, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: организму, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: о, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: особенно, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: по, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: шее, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: так, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: она, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: у, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: него, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: длинная, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: в, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: артериях, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: прове, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: должна, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: порицаются, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: быстры, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: Соединительная, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: юность, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: вокруг, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: кажется, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: ров, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: у, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: у, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: жирафов, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: эта, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: плотная, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: -с, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: в, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: принтерах, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: завтраке, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: становится, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: деннике, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: и, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: бровь, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: диффундирует, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: из, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: области, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: меньшего, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
Text: поньшего, Number: 24, Confidence: 0.35, Bbox: [10.28169059753418, 1702.84326171875, 2306.537109375, 2590.0]
