Text: no23, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: таком, Number: none, Confidence: none, Bbox: none
Text: состоянии, Number: none, Confidence: none, Bbox: none
Text: они, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: отличаются, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: объектов, Number: none, Confidence: none, Bbox: none
Text: неживой, Number: none, Confidence: none, Bbox: none
Text: природы, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: вирусов, Number: none, Confidence: none, Bbox: none
Text: быстрые, Number: none, Confidence: none, Bbox: none
Text: темпы, Number: none, Confidence: none, Bbox: none
Text: размножения, Number: none, Confidence: none, Bbox: none
Text: это, Number: none, Confidence: none, Bbox: none
Text: значит, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: вероятность, Number: none, Confidence: none, Bbox: none
Text: появления, Number: none, Confidence: none, Bbox: none
Text: мутаций, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: генетической, Number: none, Confidence: none, Bbox: none
Text: материале, Number: none, Confidence: none, Bbox: none
Text: вируса, Number: none, Confidence: none, Bbox: none
Text: направленной, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: приспособление, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: противовирусную, Number: none, Confidence: none, Bbox: none
Text: препарату, Number: none, Confidence: none, Bbox: none
Text: ц, Number: none, Confidence: none, Bbox: none
Text: них, Number: none, Confidence: none, Bbox: none
Text: выше, Number: none, Confidence: none, Bbox: none
