Text: ответ, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: а, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: а, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: в, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: развитии, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: аномалия, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: кисти, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: гипертрихоз, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: -с, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: нет, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: в, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: развитии, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: кисти, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: гипертрихоз, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: -с, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: скрещивание, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: родителей, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: летописные, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: долго, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: плиты, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: потомства, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: -с, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: мать, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: аномалия, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: в, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: развитии, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: кисти, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: нет, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: гипертрихоза, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: отец, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: нет, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: аномалии, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: в, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: развитии, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: кисти, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: нет, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: гипертрихоза, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: текстиле, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: поскотина, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: потомства, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: дочери, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: аномалия, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: а, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: развитии, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: нет, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: кисти, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: гипертрихоза, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: нет, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: нет, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: комами, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: в, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: развитии, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: кисти, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: гипертрихоза, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: сыновья, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: в, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: развитии, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: кисти, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: нет, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: гипертрихоза, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: хлуаакомалия, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: газанет, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: аномалии, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: в, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: развитии, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: кисти, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: нет, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: гиперболичного, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: акомалия, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: хауа-, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: нет, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: аномашии, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: в, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: развитии, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: кисти,, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: нет, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: гипертвичного, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
