Text: начинают, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: агиографическую, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: закономерность, Number: none, Confidence: none, Bbox: none
Text: расселения, Number: none, Confidence: none, Bbox: none
Text: сумчатого, Number: none, Confidence: none, Bbox: none
Text: объяснить, Number: none, Confidence: none, Bbox: none
Text: путем, Number: none, Confidence: none, Bbox: none
Text: изоляции, Number: none, Confidence: none, Bbox: none
Text: возможно, Number: none, Confidence: none, Bbox: none
Text: произошел, Number: none, Confidence: none, Bbox: none
Text: разрыв, Number: none, Confidence: none, Bbox: none
Text: реала, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: популяция, Number: none, Confidence: none, Bbox: none
Text: сумчатых, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: связи, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: этим, Number: none, Confidence: none, Bbox: none
Text: начала, Number: none, Confidence: none, Bbox: none
Text: жить, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: более, Number: none, Confidence: none, Bbox: none
Text: теплых, Number: none, Confidence: none, Bbox: none
Text: местах, Number: none, Confidence: none, Bbox: none
Text: приобрела, Number: none, Confidence: none, Bbox: none
Text: новые, Number: none, Confidence: none, Bbox: none
Text: признаки, Number: none, Confidence: none, Bbox: none
Text: тем, Number: none, Confidence: none, Bbox: none
Text: самым, Number: none, Confidence: none, Bbox: none
Text: приспособившись, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: среде, Number: none, Confidence: none, Bbox: none
Text: заложения, Number: none, Confidence: none, Bbox: none
Text: идеодантация), Number: none, Confidence: none, Bbox: none
Text: р, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: горд, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: д, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: частоты, Number: none, Confidence: none, Bbox: none
Text: генотипов, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: частоты, Number: none, Confidence: none, Bbox: none
Text: апрель, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: 0001, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: 0,9999, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: встречаемость, Number: none, Confidence: none, Bbox: none
Text: нормальных, Number: none, Confidence: none, Bbox: none
Text: дупелей, Number: none, Confidence: none, Bbox: none
Text: (частота, Number: none, Confidence: none, Bbox: none
Text: встречаемости, Number: none, Confidence: none, Bbox: none
Text: нормальных, Number: none, Confidence: none, Bbox: none
Text: аппелей), Number: none, Confidence: none, Bbox: none
