Text: пройти, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: расшатав, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: -с, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: встречаемость, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: заболевания, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: в, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: популяции, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: равно, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: форост, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: -с, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: частота, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: встреч, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: перепей, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: геномная, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: ая, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: 9=0,, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: -с, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: частота, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: сестрам, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: дупелей, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: генотипа, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: аба, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: р-н, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: -с, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: частота, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: вечере, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: аллелям, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: генотипа, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: аба, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: грэ-долде, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: =0,99, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: -с, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: частоте, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: верес, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: Даже, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: в, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: популяции, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: ааmp-9999, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: -с, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: дрейф, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: генов, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: может, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: спускаемым, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: образом, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: рецессивные, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: -де, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: -с, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: Первое, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: вкрапливание, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: норм, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: без, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: гиперстен, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: аналое, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: гиперон, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: -с, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: кр, Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: G., Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
Text: кр., Number: 22, Confidence: 0.56, Bbox: [20.148418426513672, 27.715314865112305, 2310.0, 1216.59423828125]
