Text: от, Number: 22, Confidence: 0.90, Bbox: [44.21379089355469, 8.857356071472168, 2274.54296875, 871.9845581054688]
Text: вирусных, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: частиц, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: тади, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: в, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: клетке, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: уве, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: увеличиваясь, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: быстрее, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: г, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: онтогенетический, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: метод, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: установить, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: втянет, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: ли, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: препарат, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: на, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: целостность, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: вирусных, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: частиц, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: -с, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: Вирус, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: ветра, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: страивает, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: свою, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: в, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: Анк, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: хозяина, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: вчерась, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: синтезирует, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: свои, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: и, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: сник, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: и, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: белки, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: и, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: покидаем, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: кидает, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: клетку, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: -с, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: -с, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: г, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: в, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: белки, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: и, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: быстро, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: покидае, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: кидает, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: клетку, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: No, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: 47, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: г, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
Text: в, Number: 23, Confidence: 0.30, Bbox: [0.0, 854.9166870117188, 2285.566650390625, 2379.50732421875]
