Text: 4.f3, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: без, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: гипертонии, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: от, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: микоза, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: мальчик, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: аномальным, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: развитием, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: без, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: гипертрихоза, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: ха, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: уве, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: нормальным, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: развитием, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: кисти, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: без, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: гипертрихоза, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: В, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: первом, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: араке, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: возможно, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: рождение, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: ребенка, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: с, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: нормальным, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: развитием, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: кисти, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: и, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: с, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: гипертрихозом, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: результате, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: кроссинговера, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: в, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: мальчик, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: с, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: нормальным, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: развитием, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: к, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: и, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: с, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: гертрикозом., Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: -мальчик, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: с, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: нормальным, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: развитием, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: к, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: кисти, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: и, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: с, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: гертрикозом., Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
