Text: возможно, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: жизни, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: сумчатых, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: животных, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: -де, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: так, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: у, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: жирафов, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: о, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: которой, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: находится, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: большое, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: количество, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: поэтому, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: у, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: в, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: сонных, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: артериях, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: высокое, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: эких, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: животных, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: давление, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: При, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: повышенном, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: человека, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: может, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: давлении, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: увеличения, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: илотвозникать, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: вечность, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: за, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: новый, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: носим, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: возникать, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: мечность, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: за, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: новый, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: носим, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: капитаров., Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
