Text: глаз, Number: 25, Confidence: 0.30, Bbox: [0.0, 40.782997131347656, 2302.005859375, 303.8471374511719]
Text: тяжести, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: что, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: было, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: бы, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: невозможно, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: если, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: бы, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: у, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: у, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: них, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: было, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: ва, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: такое, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: же, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: давление, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: и, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: у, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: человека, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: У, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: людей, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: при, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: длительном, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: патологически, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: повышенном, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: артериальном, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: давлении, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: может, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: возникать, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: отечность, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: нижних, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: конеч, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: так, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: как, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: повышенное, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: артериальное, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: давление, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: приводит, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: к, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: усиленному, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: образованию, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: тканевой, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: жидкости, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: что, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: и, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: приводит, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: к, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: -де, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: аба, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: генотип, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: с, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: фенилкетонурия, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: частота, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: встречаемость, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: матированной, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: алле, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: ли, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: а, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: частота, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: встречаемость, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: генотипа, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: аба, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: а, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: встречаемости, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: мутированной, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: алле, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: ли, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: (а), Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: =, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: Участота, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: встречаемости, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: гемотипа, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: аа, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
Text: =, Number: 24, Confidence: 0.30, Bbox: [2.037022590637207, 2111.613525390625, 2292.62353515625, 2590.0]
