Text: противовирусного, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: лекарственного, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: препарата, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: при, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: сохранении, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: всех, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: условий, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: эксперимента, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: г, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: Такой, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: отрицательный, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: контроль, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: как, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: у, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: экспе, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: риментатора,, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: не, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: позволит, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: в, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: явном, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: виде, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: увидеть, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: зависимость, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: кого, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: вирусной, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: загрузки, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: от, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: добавления, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: противовирусного, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: препарата, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: -с, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: Я, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: бы, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: не, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: стала, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: добавлять, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: никакой, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: препарат, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: бы, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: все, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: условия, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: теми, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: же, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: чтобы, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: в, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: явном, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: виде, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: отследить, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: зависимость, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: количества, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: клеток, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: от, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: добавления, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: препарата, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: -с, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: -с, Number: 24, Confidence: 0.34, Bbox: [77.47354888916016, 117.52227783203125, 2288.1640625, 1836.6435546875]
Text: -с, Number: 24, Confidence: 0.63, Bbox: [63.42903518676758, 1822.2559814453125, 2272.77490234375, 2299.98828125]
Text: В, Number: 24, Confidence: 0.63, Bbox: [63.42903518676758, 1822.2559814453125, 2272.77490234375, 2299.98828125]
Text: Южной, Number: 24, Confidence: 0.63, Bbox: [63.42903518676758, 1822.2559814453125, 2272.77490234375, 2299.98828125]
Text: Америке, Number: 24, Confidence: 0.63, Bbox: [63.42903518676758, 1822.2559814453125, 2272.77490234375, 2299.98828125]
Text: -с, Number: 24, Confidence: 0.63, Bbox: [63.42903518676758, 1822.2559814453125, 2272.77490234375, 2299.98828125]
Text: Я, Number: 24, Confidence: 0.63, Bbox: [63.42903518676758, 1822.2559814453125, 2272.77490234375, 2299.98828125]
Text: сделала, Number: 24, Confidence: 0.63, Bbox: [63.42903518676758, 1822.2559814453125, 2272.77490234375, 2299.98828125]
Text: такой, Number: 24, Confidence: 0.63, Bbox: [63.42903518676758, 1822.2559814453125, 2272.77490234375, 2299.98828125]
Text: вывод, Number: 24, Confidence: 0.63, Bbox: [63.42903518676758, 1822.2559814453125, 2272.77490234375, 2299.98828125]
Text: младая, Number: 24, Confidence: 0.63, Bbox: [63.42903518676758, 1822.2559814453125, 2272.77490234375, 2299.98828125]
Text: проанализируй, Number: 24, Confidence: 0.63, Bbox: [63.42903518676758, 1822.2559814453125, 2272.77490234375, 2299.98828125]
Text: филогенетическое, Number: 24, Confidence: 0.63, Bbox: [63.42903518676758, 1822.2559814453125, 2272.77490234375, 2299.98828125]
Text: древо, Number: 24, Confidence: 0.63, Bbox: [63.42903518676758, 1822.2559814453125, 2272.77490234375, 2299.98828125]
Text: сумчатых, Number: 24, Confidence: 0.63, Bbox: [63.42903518676758, 1822.2559814453125, 2272.77490234375, 2299.98828125]
Text: животных, Number: 24, Confidence: 0.63, Bbox: [63.42903518676758, 1822.2559814453125, 2272.77490234375, 2299.98828125]
Text: сумчатых, Number: 24, Confidence: 0.63, Bbox: [63.42903518676758, 1822.2559814453125, 2272.77490234375, 2299.98828125]
Text: животных., Number: 24, Confidence: 0.63, Bbox: [63.42903518676758, 1822.2559814453125, 2272.77490234375, 2299.98828125]
