Text: гантели, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: как, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: похищение, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: кислородов, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: слабительные, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: чем, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: и, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: человека, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: значительно, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: больше, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: чем, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: и, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: человека, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: кислорода, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: поступает, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: больше, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: а, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: значит, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: артериальное, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: давление, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: цвета, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: сличив, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: чикается, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: рах, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: разносить, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: кислород, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: до, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: конечностей, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: летно, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
Text: быстро, Number: 24, Confidence: 0.50, Bbox: [20.545103073120117, 171.6792449951172, 2258.03271484375, 811.5697631835938]
