Text: шанса, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: гамета, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: фронтальные, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: генотипы, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: возможности, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: суровей, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: в, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: 1831-, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: аромашнякисто,, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: гипертоника, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: дав, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: нет, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: аномалии, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: к, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: а, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: киста, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: инфетрикоз., Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: -с, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: фертике, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: и, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: генотипа, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: возможных, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: дочерей(8);, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: панамами, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: дистих, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: нет, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: панамам, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: кисти, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: гипертрофия, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: аномалий, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: нет, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: панамам, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: оцет, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: -с, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: нет, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: минерах, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: нет, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: созда, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: хозар, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: -с, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: генотипы, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: и, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: фенотипы, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: возможных, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: дочерей, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: -де, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: Я, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: жнет, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: панамами, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: кисти, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: нет, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: И, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: кисти, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: нетчинертрахоза, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: воротив, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: и, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: фенотипы, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: возможность, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: сыновей, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: ав, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: а, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: е, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: нет, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: панамами, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: пистик, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: нет, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: инфтринезн., Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: ж, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: занимался, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: костно, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: нет, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: запертрихога., Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: инфтринезн., Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: ж, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: занимался, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: Косто, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: нет, Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
Text: запертрихога., Number: 28, Confidence: 0.89, Bbox: [16.386337280273438, 209.58213806152344, 2296.267822265625, 2590.0]
