Text: босс, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: генотипа, Number: none, Confidence: none, Bbox: none
Text: аба, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: р, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: аллея, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: 0,01, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: 0,99, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: бензопила, Number: none, Confidence: none, Bbox: none
Text: аба, Number: none, Confidence: none, Bbox: none
Text: аллепя, Number: none, Confidence: none, Bbox: none
Text: А)=, Number: none, Confidence: none, Bbox: none
Text: 1-, Number: none, Confidence: none, Bbox: none
Text: 0,01, Number: none, Confidence: none, Bbox: none
Text: =, Number: none, Confidence: none, Bbox: none
Text: 0,99, Number: none, Confidence: none, Bbox: none
Text: ;, Number: none, Confidence: none, Bbox: none
Text: р*(частота, Number: none, Confidence: none, Bbox: none
Text: генопила, Number: none, Confidence: none, Bbox: none
Text: АА), Number: none, Confidence: none, Bbox: none
