Text: образовываться, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: -де, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: кисть, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: жисть, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: -с, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: уши, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: +30.уши, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: аномален, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: шесть, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: а, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: здоров, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: уши, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: иметь, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: здоровые, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: д, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: а, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: здоровая, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: шестов, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: здоровья, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: уши, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: уши, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: а, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: -с, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: уши, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: о, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: ломал, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: шесть, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: а, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: -с, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: уши, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: -охакомальный, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: шесть, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: чисто, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: здоровые, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: уши, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: здоровые, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: уши, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: -с, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: шикать, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: -де, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: часть, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: жернов, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: уши, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: Второй, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: случай, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: р, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: в, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: ехав, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: ехав, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: хох, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: хапнув, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: ув, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: смолкал, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: шесть, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: Здоровые, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: уши, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: здоров, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: шесть, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: здоровые, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: уши, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: -с, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: шесть, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: охакомал., Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: шесть, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: -с, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: -с, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: -де, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: В, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: здоровье, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: шесть, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: здоровые, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: уши, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: здоровые, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: уши, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: да, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: в, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: первом, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: баране, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: возможно, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: рождение, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: ребенка, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: с, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: нормальным, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: развитием, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: кисти, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: и, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: с, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: гипертрихозом, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: так, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: как, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: в, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: результате, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: кроссинговера, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: образуется, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: галита, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: аханье, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: и, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: отцовская, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: немота, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: бубн, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: -с, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: непрословериале., Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: Таким, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: образом, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: может, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: родиться, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: такой, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: ребенок, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: с, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: генотипом, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: может, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: родиться, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: такой, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: ребёнок, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: с, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: гскотипом, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
