Text: маляров, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: 0001, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: час, Number: none, Confidence: none, Bbox: none
Text: встречаемость, Number: none, Confidence: none, Bbox: none
Text: жевания, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: забочеловека, Number: none, Confidence: none, Bbox: none
Text: популяции, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: 0,01, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: мутантных, Number: none, Confidence: none, Bbox: none
Text: аллелей, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: ра, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: 0,99, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: нормальных, Number: none, Confidence: none, Bbox: none
Text: аллелей, Number: none, Confidence: none, Bbox: none
Text: ей, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: (aa)-, Number: none, Confidence: none, Bbox: none
Text: 0,9801, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: встречаем, Number: none, Confidence: none, Bbox: none
Text: здоровье, Number: none, Confidence: none, Bbox: none
Text: равновесной, Number: none, Confidence: none, Bbox: none
Text: популя, Number: none, Confidence: none, Bbox: none
Text: людей, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: цикл, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: востро, Number: none, Confidence: none, Bbox: none
Text: встречаемость, Number: none, Confidence: none, Bbox: none
Text: носите, Number: none, Confidence: none, Bbox: none
Text: лей, Number: none, Confidence: none, Bbox: none
Text: лей, Number: none, Confidence: none, Bbox: none
Text: гена, Number: none, Confidence: none, Bbox: none
Text: заболевания, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: равновесной, Number: none, Confidence: none, Bbox: none
Text: популяции, Number: none, Confidence: none, Bbox: none
Text: человек, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Дрейф, Number: none, Confidence: none, Bbox: none
Text: генов, Number: none, Confidence: none, Bbox: none
Text: no26., Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: Южно, Number: none, Confidence: none, Bbox: none
Text: Южной, Number: none, Confidence: none, Bbox: none
Text: Америке, Number: none, Confidence: none, Bbox: none
Text: Азии, Number: none, Confidence: none, Bbox: none
Text: Австралии, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: ложный, Number: none, Confidence: none, Bbox: none
Text: преобладает, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Имеют, Number: none, Confidence: none, Bbox: none
Text: одинаковую, Number: none, Confidence: none, Bbox: none
Text: приспособленность, Number: none, Confidence: none, Bbox: none
Text: схожее, Number: none, Confidence: none, Bbox: none
Text: строение, Number: none, Confidence: none, Bbox: none
Text: ме, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: питания, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Экологическое, Number: none, Confidence: none, Bbox: none
Text: видообразование, Number: none, Confidence: none, Bbox: none
Text: ме, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: питания, Number: none, Confidence: none, Bbox: none
Text: 3), Number: none, Confidence: none, Bbox: none
Text: Экологическое, Number: none, Confidence: none, Bbox: none
Text: видообразование, Number: none, Confidence: none, Bbox: none
