Text: делительная, Number: 22, Confidence: 0.55, Bbox: [14.645468711853027, 102.58003234863281, 2286.08154296875, 2590.0]
Text: капиллярах, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: -с, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: отечность, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: нижних, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: конечностей, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: апр, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: происходит, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: из-за, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: застоя, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: крови, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: в, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: большом, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: кругу, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: кровообращения, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: 561), Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: Скорее, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: всего, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: предки, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: сумчатых, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: обижали, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: на, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: каких, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: либо, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: вставай, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: в, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: изоляции, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: от, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: материков, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: -с, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: Эта, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: изоляция, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: помогла, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: им, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: приобрести, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: ную, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: форму, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: защиты, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: потомства, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: -с, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: Австралия, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: находится, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: детально, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: по, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: отношению, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: к, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: Южной, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: мидии, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: Из-за, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: раздражения, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: в, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: древние, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: времен, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: крупного, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: животно, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: оставшиеся, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: на, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: за, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: отколотых, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: баснях, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: коваными, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: стали, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: раздравления, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: в, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: древние, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: вре-, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: меня, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: крупного, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: материка, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: животно, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: оставшиеся, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: на, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: за, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: отколотых, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: часнях, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: овакными., Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
Text: стали, Number: 25, Confidence: 0.34, Bbox: [8.36569881439209, 548.1102294921875, 2296.146240234375, 2589.88671875]
