Text: екате, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: подвергается, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: экспериментальному, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: воздействию, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: -с, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: Отрицательный, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: контроль, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: в, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: эксперименте, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: препарат, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: в, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: образец, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: остальные, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: параметры, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: оставить, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: неизменными, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: -с, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: влагой, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: В, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: течение, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: такого, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: контроля, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: ввести, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: наблюдение, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: за, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: количеством, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: вирусных, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: частиц, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: дальше, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: сопоставить, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: с, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: с, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: данными, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: из, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: таблицы, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: В, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: результате, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: результате, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: результат, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: резул, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: результате, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: можно, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: вывести, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: существует, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: ли, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: злобность, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: и, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: насколько, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: эффективен, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: препарат, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: против, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: вируса, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: иммунодефицита, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: человека, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: no23., Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: -с, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: Тестируемый, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: лекарственный, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: препарат, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: не, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: разрушает, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: вирусные, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: частицы, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: так, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: как, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: поданный, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: в, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: таблице, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: после, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: внесения, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: препарата, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: спустя, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: а, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: суток, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: количество, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: вирусных, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: частиц, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: вернулось, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: к, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: препарату, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: значения, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: после, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: их, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: введения, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: име, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: стало, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: выше, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: -с, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: Влияние, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: препарата, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: на, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: целостность, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: вирусных, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: частиц, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: позволяет, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: установить, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: биохимический, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: метод, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: биохимический, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
Text: метод, Number: 22, Confidence: 0.31, Bbox: [64.79890441894531, 1660.9525146484375, 2289.287841796875, 2587.474365234375]
