Text: немалы, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: в, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: слюноотделительном, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: центре, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: индене, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: информации, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: из-за, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: глаз, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: no25., Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: -с, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: У, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: миргород, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: наблюдается, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: высокое, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: артериальная, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: так, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: размер, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: сонной, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: артерии, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: больше, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: чем, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: у, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: человека, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: -с, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: сомнительная, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: кань, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: имеет, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: большую, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: плотность, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: ак, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: из-за, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: эволюции, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: очками, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: пришлось, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: видоизмениться, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: для, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: лучшего, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: к, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: окружающей, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: мужающей, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: среде, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: Отечность, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: нижних, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: конечностей, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: может, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: возникнуть, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: из-за, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: малого, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: доступа, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: правы, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: к, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: ним, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: в, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: течение, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: длительного, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: времени, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: -де, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: -с, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: Наиболее, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: древние, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: предали, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: обитали, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: на, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: разных, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: концах, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: земли, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: -с, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: остеографическую, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: верность, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: можно, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: наблюдать, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: из-за, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: естественного, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: отбора, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: входе, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: которого, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: животные, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: нашли, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: наиболее, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: благоприятную, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: среду, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: для, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: обитания, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: -с, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: апория, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: Естественного, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: отвора, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: сн, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: лист, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: -с, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: -с, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: Естественного, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: отвора!, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: сн., Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: лист, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: No, Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
Text: 3., Number: 22, Confidence: 0.49, Bbox: [0.0, 0.0, 2265.494140625, 1304.410888671875]
