Text: жирафов, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: высокое, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: артерия, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: модное, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: давление, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: приводит, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: и, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: не, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: к, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: отечности, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: классная, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: конечностей, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: жира, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: живет, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: теплом, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: климате, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: него, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: должна, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: быть, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: приспособленность, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: -с, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: таким, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: условиям, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: поэтому, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: большая, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: плотность, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: соединительной, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: ткани, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: вокруг, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: антимиров, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: увеличивает, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: возможность, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: большей, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: теплоотдача, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: увеличению, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: людей, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: при, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: патологически, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: повышенна, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: артериальном, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: давление, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: возникает, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: отечности, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: нижних, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: конечностей, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: из-за, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: увеличения, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: плотности, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: сосудов, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: nab,, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: Наиболее, Number: 24, Confidence: 0.31, Bbox: [40.355377197265625, 60.26741409301758, 2303.857666015625, 2182.6494140625]
Text: древние, Number: 24, Confidence: 0.43, Bbox: [49.33610916137695, 2118.429931640625, 2310.0, 2590.0]
Text: деки, Number: 24, Confidence: 0.43, Bbox: [49.33610916137695, 2118.429931640625, 2310.0, 2590.0]
Text: предки, Number: 24, Confidence: 0.43, Bbox: [49.33610916137695, 2118.429931640625, 2310.0, 2590.0]
Text: сумчатых, Number: 24, Confidence: 0.43, Bbox: [49.33610916137695, 2118.429931640625, 2310.0, 2590.0]
Text: обитали, Number: 24, Confidence: 0.43, Bbox: [49.33610916137695, 2118.429931640625, 2310.0, 2590.0]
Text: Южной, Number: 24, Confidence: 0.43, Bbox: [49.33610916137695, 2118.429931640625, 2310.0, 2590.0]
Text: Америке, Number: 24, Confidence: 0.43, Bbox: [49.33610916137695, 2118.429931640625, 2310.0, 2590.0]
Text: мы, Number: 24, Confidence: 0.43, Bbox: [49.33610916137695, 2118.429931640625, 2310.0, 2590.0]
Text: может, Number: 24, Confidence: 0.43, Bbox: [49.33610916137695, 2118.429931640625, 2310.0, 2590.0]
Text: сем, Number: 24, Confidence: 0.43, Bbox: [49.33610916137695, 2118.429931640625, 2310.0, 2590.0]
Text: это, Number: 24, Confidence: 0.43, Bbox: [49.33610916137695, 2118.429931640625, 2310.0, 2590.0]
Text: увидеть, Number: 24, Confidence: 0.43, Bbox: [49.33610916137695, 2118.429931640625, 2310.0, 2590.0]
Text: по, Number: 24, Confidence: 0.43, Bbox: [49.33610916137695, 2118.429931640625, 2310.0, 2590.0]
Text: рисунку, Number: 24, Confidence: 0.43, Bbox: [49.33610916137695, 2118.429931640625, 2310.0, 2590.0]
Text: каку, Number: 24, Confidence: 0.43, Bbox: [49.33610916137695, 2118.429931640625, 2310.0, 2590.0]
Text: рисунку, Number: 24, Confidence: 0.43, Bbox: [49.33610916137695, 2118.429931640625, 2310.0, 2590.0]
Text: кку, Number: 24, Confidence: 0.43, Bbox: [49.33610916137695, 2118.429931640625, 2310.0, 2590.0]
