Text: no23, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: это, Number: none, Confidence: none, Bbox: none
Text: мира, Number: none, Confidence: none, Bbox: none
Text: живого, Number: none, Confidence: none, Bbox: none
Text: организма, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: раздражители, Number: none, Confidence: none, Bbox: none
Text: инстинкт, Number: none, Confidence: none, Bbox: none
Text: группа, Number: none, Confidence: none, Bbox: none
Text: определенных, Number: none, Confidence: none, Bbox: none
Text: установок, Number: none, Confidence: none, Bbox: none
Text: обеспечивают, Number: none, Confidence: none, Bbox: none
Text: выживание, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: распространение, Number: none, Confidence: none, Bbox: none
Text: генетической, Number: none, Confidence: none, Bbox: none
Text: информации, Number: none, Confidence: none, Bbox: none
Text: организма, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Раздражитель, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: гаситель, Number: none, Confidence: none, Bbox: none
Text: ал, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: Глаз, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: Отдел, Number: none, Confidence: none, Bbox: none
Text: мозга, Number: none, Confidence: none, Bbox: none
Text: отвечающий, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: анализ, Number: none, Confidence: none, Bbox: none
Text: полученных, Number: none, Confidence: none, Bbox: none
Text: данных, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: глаза, Number: none, Confidence: none, Bbox: none
Text: ал, Number: none, Confidence: none, Bbox: none
Text: отдел, Number: none, Confidence: none, Bbox: none
Text: моста, Number: none, Confidence: none, Bbox: none
Text: отвечающий, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: распознание, Number: none, Confidence: none, Bbox: none
Text: знакомых, Number: none, Confidence: none, Bbox: none
Text: образов, Number: none, Confidence: none, Bbox: none
Text: ап, Number: none, Confidence: none, Bbox: none
Text: обязанн, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: мозжечок, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: слюнные, Number: none, Confidence: none, Bbox: none
Text: визы, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: no25, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Высокое, Number: none, Confidence: none, Bbox: none
Text: артериальное, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: сонных, Number: none, Confidence: none, Bbox: none
Text: артериях, Number: none, Confidence: none, Bbox: none
Text: жирафа, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: сонных, Number: none, Confidence: none, Bbox: none
Text: артериях, Number: none, Confidence: none, Bbox: none
Text: жирафа, Number: none, Confidence: none, Bbox: none
