Text: Для, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: оставить, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: без, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: изме, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: мнений, Number: 22, Confidence: 0.40, Bbox: [40.224464416503906, 38.31464767456055, 2260.42333984375, 1611.1453857421875]
Text: no23, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: -с, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: Да, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: можно, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: утвержда, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: что, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: препарат, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: разрушает, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: бичуемые, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: частицы, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: Потому, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: что, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: паль, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: внесения, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: пригорала, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: голово, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: изыски, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: частиц, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: уменьшилось, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: -де, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: -с, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: Адаптация, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: к, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: плохим, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: условиям, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: быстрое, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: года, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: размножение, Number: 22, Confidence: 0.31, Bbox: [35.30246353149414, 1035.59716796875, 2293.334228515625, 1966.317626953125]
Text: Дом, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: -с, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: на, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: а, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: рисунке, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: А, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: изображен, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: безуслов, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: безусловный, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: рефлекс, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: мюнестричения, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: и, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: отсутствует, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: раздраж, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: раздражитель, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: под, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: номером, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: а, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: Безусловный, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: венерик, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: инстинкт, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: н, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: находится, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: в, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
Text: на, Number: 24, Confidence: 0.57, Bbox: [34.98333740234375, 1960.504638671875, 2295.995361328125, 2587.481689453125]
