Text: р-1-9=, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: а, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: а, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: -с, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: частота, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: встречаемость, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: фенотипа, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: аба, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: в, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: популяции, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: человека, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: -с, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: задание, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: аномалия, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: в, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: развитии, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: кисти, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: гипертрихоз, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: нет, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: апломб, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: нет, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: приперт, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: разв, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: явной, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: в, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: приперт, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: -с, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: -с, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: х, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: -де, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: нет, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: нет, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: Жаном, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: приперт, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: аномии, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: нет, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: гиперон, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: разв, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: Жаном, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: гиперон, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: нет, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: йому, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: гиперон, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: -с, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: р, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: а, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: нет, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: гиперстен, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: нет, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: нет, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: Жаном, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: гиперон, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: -де, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: нет, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: гипюр, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: нет, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: либерте, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: д, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: у, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: нет, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: Жаном, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: незаперт, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: нет, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: Жаном, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: нет, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: приперт, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: -с, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: да, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: возможно, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: рождение, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: ребенка, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: в, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: первом, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: браке, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: с, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: нормальным, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: развитием, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: развитием, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: кисти, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: и, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: с, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: гипертрихозом, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: -с, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: хапан, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: он, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: получила, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: гаметы, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: матери, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: и, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: кроссоверов, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: гаметы, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: у, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: -с, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: естественный, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: отбор, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: увеличение, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: количества, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: в, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: популяции, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: увеличение, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: генетического, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: разнообразия, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: увеличение, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: количества, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: гетерозиготный, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: особей, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: в, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: популяции, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: -с, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: задание, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: в, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: популяции, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: 27, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
Text: задание, Number: 28, Confidence: 0.81, Bbox: [19.729503631591797, 281.3501892089844, 2310.0, 2543.876953125]
