Text: которые, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: аба, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: апогамия, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: развития, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: (4%), Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: (an), Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: -с, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: развитии, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: развитии, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: партию, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: а, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: А, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: а, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: -с, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: -с, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: в, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: отдыху, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: а, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: ахах, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: -с, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: норм, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: развитие, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: о, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: а, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: а, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: отб, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: опорам, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: развитие, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: бег, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: гипертрикистиц, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: без, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: скрещивание, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: рапа, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: адр, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: а, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: японская, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: в, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: развитии, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: а, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: -с, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: мыльное, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: развит, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: влитие, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: без, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: пер, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: трюизма, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: асу, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: -с, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: faatt, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: Радомышль, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: в, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: развитии, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: пахуапомался, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: в, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: развитии, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: вперта, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: без, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: юзы, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: без, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: гиперон, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: развитии, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: гиперта, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: кисти,, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: без, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: юзы, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: кисти;, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: без, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: гипер-, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
