Text: искл, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: это, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: реакция, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: организм, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: появившиеся, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: у, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: несших, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: которые, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: переделить, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: как, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: и, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: возник, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: от, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: эксперимент, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: ситуациях, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: и, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: мы, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: много, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: с, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: этим, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: поделив, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: не, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: можем, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: Такое, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: высокое, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: арте, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: реальное, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: давление, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: природа, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: улавливается, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: его, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: большими, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: размерами, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: и, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: размерами, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: его, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: кровеносной, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: смелы, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: соед, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: размерил, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: связанно, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: с, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: рез, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: способом, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: предви, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: меня, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: него, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: большие, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: конечно, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: они, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: которым, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: нужен, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: большой, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: бой, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: клепкой, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: (жнаней.), Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: тапа, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: во, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: нижних, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: конечно, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: ся, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: человека, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: сосредоточено, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: больное, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: поя, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: сосудов, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: не, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: сущ, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: и, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: кровь, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: вотрешь, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: следующий, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: мест, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: и, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: кровь, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: (шотрешь, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: следующий, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: мест., Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
