Text: г, Number: none, Confidence: none, Bbox: none
Text: который, Number: none, Confidence: none, Bbox: none
Text: передает, Number: none, Confidence: none, Bbox: none
Text: сигнал, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: безусловного, Number: none, Confidence: none, Bbox: none
Text: рефлекса, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: чего, Number: none, Confidence: none, Bbox: none
Text: начинается, Number: none, Confidence: none, Bbox: none
Text: слюноотделение, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: отсутствии, Number: none, Confidence: none, Bbox: none
Text: безусловного, Number: none, Confidence: none, Bbox: none
Text: раздражителя, Number: none, Confidence: none, Bbox: none
Text: еды, Number: none, Confidence: none, Bbox: none
Text: no25, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: находится, Number: none, Confidence: none, Bbox: none
Text: намного, Number: none, Confidence: none, Bbox: none
Text: жирафов, Number: none, Confidence: none, Bbox: none
Text: головной, Number: none, Confidence: none, Bbox: none
Text: мозг, Number: none, Confidence: none, Bbox: none
Text: дальше, Number: none, Confidence: none, Bbox: none
Text: чем, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: людей, Number: none, Confidence: none, Bbox: none
Text: из-за, Number: none, Confidence: none, Bbox: none
Text: высокой, Number: none, Confidence: none, Bbox: none
Text: писем, Number: none, Confidence: none, Bbox: none
Text: поэтому, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: бы, Number: none, Confidence: none, Bbox: none
Text: обеспечить, Number: none, Confidence: none, Bbox: none
Text: приток, Number: none, Confidence: none, Bbox: none
Text: крови, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: головному, Number: none, Confidence: none, Bbox: none
Text: могу, Number: none, Confidence: none, Bbox: none
Text: сердцу, Number: none, Confidence: none, Bbox: none
Text: жирафа, Number: none, Confidence: none, Bbox: none
Text: нулевкой, Number: none, Confidence: none, Bbox: none
Text: создавать, Number: none, Confidence: none, Bbox: none
Text: более, Number: none, Confidence: none, Bbox: none
Text: сильное, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: сильное, Number: none, Confidence: none, Bbox: none
Text: давление., Number: none, Confidence: none, Bbox: none
