Text: примани, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: кровь, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: не, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: наступает, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: в, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: эти, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: циркулирует, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: в, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: ногах, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: отеки, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: -с, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: На, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: жирафа, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: больше, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: давит, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: атмосферное, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: д, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: давление, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: бон, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: выше, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: человека, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: атм, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: черному, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: -с, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: У, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: обрадов, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: плотность, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: седины, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: винительной, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: ткани, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: вокруг, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: капиталов, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: больше, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: так, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: как, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: из-за, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: давления, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: выше, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: чем, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: у, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: человека, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: их, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: кровь, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: движется, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: быстрее, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: сн, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: след, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: стр, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: сн., Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: след., Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: стр., Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
