Text: лаяния, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: все, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: остальные, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: условия, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: оставляем, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: не, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: изменившие, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: например, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: влажность, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: августность,, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: давление, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: и, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: тар, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: из, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: груш, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: Возьмем, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: еще, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: одну, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: зараженный, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: клеток, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: вирусом, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: реферата, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: и, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: не, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: будем, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: подвергать, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: плетки, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: действию, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: естественное, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: имеющие, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: года, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: препарата, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: при, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: этом, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: вле, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: остальные, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: условия, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: оставили, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: не, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: изменении, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: температура, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: влажность, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: и, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: тади, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: Можно, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: утверждать, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: что, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: цитируемый, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: препарат, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: разрушает, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: вирусные, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: частицы, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: нежное, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: из, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: занима, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: таблицы, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: однако, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: содействие, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: года, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: кратковременно, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: и, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: разрушает, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: малое, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: количество, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: вскрытых, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: литер, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: частиц, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: уможимичимый, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: метод, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: название, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: установить, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: влияние, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: за, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: препарата, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: на, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: на, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: жалостность, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: парусным, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: частиц, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: потому, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: что, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: массный, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: дел, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: метод, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: позволяет, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: наш, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: отслеживать, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: нашестов, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: научных, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: частиц, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: в, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: крови, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: человека, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: после, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: вверен, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: тестируем, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: русского, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: пригара, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: путем, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: забора, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: общего, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: анализа, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: права, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: Некоторые, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: особенности, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: жизненного, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: ушла, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: вирусов, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: услышат, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: разработку, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: противовирусный, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: препаратов, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: друг, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: вруши, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: уш, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: нейтрон, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: превышают, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: к, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: действию, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: препарата, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: и, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: уч, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: учатся, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: против, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: Белоруссии, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: Минск, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: примет, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: ответные, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
