Text: снач, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: с, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: с, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: внутри, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: вой, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: борьбой, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: коробы, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: между, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: особыми, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: одного, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: жиль, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: осанку, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: вида, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: за, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: ед, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: ч, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: из-за, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: самая, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: ожесточенная, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: изменения, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: условий, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: среды, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: короба, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: неблагоприятными, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: условиями, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: нету, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: приспособлений, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: данному, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: воздействию, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: сред, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: среды, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: борьба, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: условию, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: между, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: особыми, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: разных, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: видовмежвид, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: которая, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: могла, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: привести, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: не, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: к, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: к, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: переселена, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: видов, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: ветрам, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: теория, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: адаптация, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: животн, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: изменениям, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: окружающей, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: среде, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: no28., Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: фабком, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: решение, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: анкет, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: гипертрихоза, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: -с, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: гипертрихоз, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: нормальное, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: кисту, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: норм, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: развит, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: от, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: за, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: намале, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: развит, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: кист, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: нет, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: интердикт, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: гиперон, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: целости, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: анамал., Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: развит, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: кист, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: нет, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: инердих,, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: гипертр, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
Text: келсти, Number: 24, Confidence: 0.43, Bbox: [48.45307922363281, 2151.687744140625, 2303.63134765625, 2590.0]
