Text: ном, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: миссии, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: конечностях, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: на, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: них, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: больше, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: всего, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: осуществляется, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: опора, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: шар, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: -де, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: -с, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: наиболее, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: древние, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: предки, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: современных, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: сумчатых, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: могли, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: жить, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: в, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: пещерах, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: или, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: почве, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: по, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: моему, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: мнению, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: -с, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: шик, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: по, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: онтогенетическому, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: дереву, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: сумчатых, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: животных, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: понять, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: что, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: ко, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: размеру, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: животные, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: маленькие, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: средних, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: размеров, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: сытить, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: они, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: Вязников, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: им, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: необходимо, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: ученице, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: в, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: случае, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: опасности, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: -с, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: сумчатые, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: ведут, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: подвижный, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: образ, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: жизни, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: ана, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: большой, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: территории, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: еду, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: половых, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: портсигаров, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: место, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: размножения, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: в, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: связи, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: с, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: передвижением, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: можно, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: наблюдать, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: биогеографическую, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: закономерность, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: в, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: расселении, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: сумчатых, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: оологическая, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: теория, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: дрейф, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: генов, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: сумчатых, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: 9), Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: пологическая, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: теория:, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: дрейф, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: генов, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
