Text: корейка, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: клетке, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: хороша, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: no24, Number: 22, Confidence: 0.39, Bbox: [11.03430461883545, 22.39242935180664, 2266.4765625, 514.7509765625]
Text: -с, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: -с, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: на, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: рисунке, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: под, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: буквой, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: а, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: -с, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: в, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: продолговат, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: знаменит, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: вре, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: -с, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: инстликтвобуденная, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: поведения, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: которая, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: не, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: может, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: изменяться, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: при, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: воздействии, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: безразличного, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: раздражительна, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: -с, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: сетчатка, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: чувст, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: чувствительный, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: пестрин, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: кора, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: больших, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: полушарий, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: продолговатый, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: мор, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: двигательный, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: нейрон, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: сложные, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: железы, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: no25, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: длина, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: сонной, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: артерии, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: зависит, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: от, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: длины, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: шей, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: шей, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: -с, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: У, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: каву, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: у, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: жирафа, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: очень, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: длинная, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: шея, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: -с, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: чтобы, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: кровь, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: поступила, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: в, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: головной, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: мор, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: необходимо, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: высокое, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: артериальное, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: давление, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: -с, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: большая, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: плотность, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: ткани, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: вокруг, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: напилено, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: предотвращает, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: черненное, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: расширение, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: сосудов, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: в, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: условиях, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: жаркого, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: климата, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: в, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: услов, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: расширение, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: сосудов, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: в, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: условиях, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: жаркого, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: климата, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: в, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
Text: услов, Number: 22, Confidence: 0.54, Bbox: [24.381532669067383, 1557.0272216796875, 2281.778564453125, 2579.658203125]
