Text: материнская, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: а, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: также, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: несущая, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: ген, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: ополоснемся, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: края, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: ушной, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: раковины, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: наследуемый, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: по, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: голоэдрическому, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: no27., Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: (р+ф=+;, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: р++2ра+д+=1), Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: -с, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: нормальный, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: фенотип, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: представлен, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: доминантной, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: гомозиготой, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: (aa), Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: и, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: гетерозиготой, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: ваал, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: мутантный, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: фенотип, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: представлен, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: рецессивной, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: гомозиготой, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: ваал, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: -с, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: найдем, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: частоту, Number: 23, Confidence: 0.36, Bbox: [0.0, 1126.4342041015625, 2261.409912109375, 2222.343017578125]
Text: встречаемость, Number: 23, Confidence: 0.36, Bbox: [0.0, 1126.4342041015625, 2261.409912109375, 2222.343017578125]
Text: мутантного, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: фенотипа, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: ваал, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: -де, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: -с, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: 10000, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: а, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: 0,0001, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: -с, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: найдем, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: частоту, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: встречаемость, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: мутантного, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: алюмеля, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: -с, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: найдем, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: частоту, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: встречаемость, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: нормального, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: аллелям, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: -с, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: -с, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: а, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: а, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: -с, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: -с, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: а, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: а, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: а, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: 0,99, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: -с, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: найдем, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: частоту, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: встречаемость, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: нормального, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: фенотипа, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: ваал, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: аба, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: -с, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: а, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: 0,9801, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: -с, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: к, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: снижению, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: доли, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: рецессивных, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: гомозигот, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: во, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: всей, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: человеческой, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: популяции, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: может, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: привести, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: дрейф, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: генов, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: no22., Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: -с, Number: 27, Confidence: 0.67, Bbox: [0.0, 1173.1776123046875, 2243.82373046875, 2227.845458984375]
Text: данный, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: отрицательный, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: контроль, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: нельзя, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: считать, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: адекватным, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: а, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: так, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: как, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: противовирусный, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: препарат, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: купленный, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: в, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: атмосфер, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: в, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: атмосфер, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: в, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: атмосфе, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: может, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: атмосфике, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
Text: может, Number: 24, Confidence: 0.33, Bbox: [0.5997200012207031, 2237.4208984375, 2272.971923828125, 2590.0]
