Text: мать, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: отдых, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: замена, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: массива, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: из, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: первого, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: драка, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: пламени, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: в, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: развитии, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: ввести, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: гипергидроз, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: рапа, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: орошался, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: развития, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: кости, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: нет, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: гипертрихоза, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: нет, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: сношений, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: нет, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: эллергризода, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: сг, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: -де, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: давящей, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: нет, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: аномалий, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: неб, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: интертрикала?, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: Х, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: х, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: ломание, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: в, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: развитии, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: кисти, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: нет, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: гипертрихоза, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: мальчики, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: нет, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: аномалий, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: нет, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: инфtрикозы, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: аномалии, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: в, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: развитии, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: кисти, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: нет, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: гипертрихоза, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: ответ, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: в, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: первом, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: дороже, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: виновно, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: рождение, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: ребенка, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: с, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: нормальным, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: развитием, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: киста, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: и, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: с, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: гипертрихозом, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: так, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: как, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: одна, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: комета, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: досталась, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: ему, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: от, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: матери, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: акхи, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: вторая, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: прослоенная, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: гамета, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: от, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: отца, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: исто, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: получился, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: хоу, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: мальчик, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: с, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: нормальным, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: развитием, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: кисти, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: и, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
Text: гипертрихозом, Number: 28, Confidence: 0.91, Bbox: [36.13140106201172, 48.43529510498047, 2310.0, 2395.00341796875]
