Text: увеличилось, Number: 22, Confidence: 0.37, Bbox: [5.76353645324707, 33.92271423339844, 2305.83447265625, 2583.574951171875]
Text: клетке, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: хозяина, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: то, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: и, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: разрешения, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: чай, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: частицах, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: бедует, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: находится, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: эти, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: атомы, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: вирусы, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: проявляют, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: свойство, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: живого, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: только, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: в, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: клетке, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: непышно, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: вируса, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: могут, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: некоторое, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: время, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: не, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: уничтожить, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: клетку, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: хозяина, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: могут, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: и, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: уничижить, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: враждовать, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: плазматическую, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: мемфану),, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: в, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: одной, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: клетке, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: хозяина, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: может, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: образоваться, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: много, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: жирков, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
