Text: мантии, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: четкие, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: инертна, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: отрут, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: no25., Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: гипертрихоза, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: -с, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: Санные, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: артерии, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: располагаются, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: в, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: ме, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: и, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: транспортируют, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: кровь, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: от, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: сердца, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: в, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: голову, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: шефа, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: жирафа, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: длинная, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: поэтому, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: чтобы, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: кровь, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: зеркально, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: могла, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: подняться, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: на, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: полук, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: высокую, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: необходим, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: ходило, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: высокое, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: да, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: за, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: давление, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: в, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: артериях, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: -с, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: -с, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: Так, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: как, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: жирафа, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: довольно, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: длинные, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: года, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: конечности, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: а, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: артериальное, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: давление, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: в, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: области, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: конечностей, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: уменьшается, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: плотная, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: соединительная, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: ткань, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: позволяет, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: каптерам, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: не, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: расширятся, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: от, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: поступаемо, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: объема, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: крови, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: а, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: также, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: что, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: способствует, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: поддержанию, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: давления, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: в, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: сосудах, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: и, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: крови, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: вверх, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: в, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: сосудах, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: и, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: току, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: крови, Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
Text: вверх., Number: 24, Confidence: 0.30, Bbox: [23.469602584838867, 1766.877685546875, 2292.13330078125, 2590.0]
